2019-01-22 14:06:48,889 [main] INFO  ? (?:?) - using logger: com.alibaba.dubbo.common.logger.log4j.Log4jLoggerAdapter
2019-01-22 14:06:50,574 [localhost-startStop-1] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:200) -  [DUBBO] Load registry store file C:\Users\wujw\.dubbo\dubbo-registry-dubbo-admin-127.0.0.1:2181.cache, data: {*/com.example.consumer.service.UserService:*=empty://192.168.19.15/com.example.consumer.service.UserService?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=com.example.consumer.service.UserService&version=* empty://192.168.19.15/com.example.consumer.service.UserService?category=consumers&check=false&classifier=*&enabled=*&group=*&interface=com.example.consumer.service.UserService&version=* empty://192.168.19.15/com.example.consumer.service.UserService?category=routers&check=false&classifier=*&enabled=*&group=*&interface=com.example.consumer.service.UserService&version=* empty://192.168.19.15/com.example.consumer.service.UserService?category=configurators&check=false&classifier=*&enabled=*&group=*&interface=com.example.consumer.service.UserService&version=* empty://192.168.19.15/com.example.consumer.service.UserService?category=providers&check=false&classifier=*&enabled=*&group=*&interface=com.example.consumer.service.UserService&version=*, */com.example.dubbo.service.UserService:*=empty://192.168.19.15/com.example.dubbo.service.UserService?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=com.example.dubbo.service.UserService&version=* consumer://192.168.19.15/com.example.dubbo.service.UserService?application=consumer&category=consumers&check=false&default.check=false&dubbo=2.6.0&interface=com.example.dubbo.service.UserService&methods=test,saveUser&pid=23420&side=consumer&timestamp=1548136188405 empty://192.168.19.15/com.example.dubbo.service.UserService?category=routers&check=false&classifier=*&enabled=*&group=*&interface=com.example.dubbo.service.UserService&version=* empty://192.168.19.15/com.example.dubbo.service.UserService?category=configurators&check=false&classifier=*&enabled=*&group=*&interface=com.example.dubbo.service.UserService&version=* dubbo://192.168.19.15:20880/com.example.dubbo.service.UserService?anyhost=true&application=provider&dubbo=2.6.0&generic=false&interface=com.example.dubbo.service.UserService&methods=test,saveUser&pid=22512&side=provider&timestamp=1548136175045, */com.example.dubbo.UserService:*=empty://192.168.19.15/com.example.dubbo.UserService?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=com.example.dubbo.UserService&version=* empty://192.168.19.15/com.example.dubbo.UserService?category=consumers&check=false&classifier=*&enabled=*&group=*&interface=com.example.dubbo.UserService&version=* empty://192.168.19.15/com.example.dubbo.UserService?category=routers&check=false&classifier=*&enabled=*&group=*&interface=com.example.dubbo.UserService&version=* empty://192.168.19.15/com.example.dubbo.UserService?category=configurators&check=false&classifier=*&enabled=*&group=*&interface=com.example.dubbo.UserService&version=* empty://192.168.19.15/com.example.dubbo.UserService?category=providers&check=false&classifier=*&enabled=*&group=*&interface=com.example.dubbo.UserService&version=*}, dubbo version: 2.6.2, current host: 192.168.19.15
2019-01-22 14:06:50,807 [localhost-startStop-1] INFO  com.alibaba.dubbo.config.ReferenceConfig (ReferenceConfig.java:425) -  [DUBBO] Refer dubbo service com.alibaba.dubbo.registry.RegistryService from url zookeeper://127.0.0.1:2181/com.alibaba.dubbo.registry.RegistryService?application=dubbo-admin&dubbo=2.6.2&pid=15452&refer=application%3Ddubbo-admin%26check%3Dfalse%26dubbo%3D2.6.2%26interface%3Dcom.alibaba.dubbo.registry.RegistryService%26methods%3Dlookup%2Cunsubscribe%2Csubscribe%2Cunregister%2Cregister%26pid%3D15452%26register.ip%3D192.168.19.15%26revision%3D2.6.2%26side%3Dconsumer%26timestamp%3D1548137210484&timestamp=1548137210537, dubbo version: 2.6.2, current host: 192.168.19.15
2019-01-22 14:06:50,850 [localhost-startStop-1] INFO  com.alibaba.dubboadmin.governance.sync.RegistryServerSync (RegistryServerSync.java:78) -  [DUBBO] Init Dubbo Admin Sync Cache..., dubbo version: 2.6.2, current host: 192.168.19.15
2019-01-22 14:06:50,854 [localhost-startStop-1] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:298) -  [DUBBO] Subscribe: admin://192.168.19.15?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=*&version=*, dubbo version: 2.6.2, current host: 192.168.19.15
2019-01-22 14:06:50,932 [localhost-startStop-1] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:298) -  [DUBBO] Subscribe: admin://192.168.19.15/com.example.dubbo.service.UserService?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=com.example.dubbo.service.UserService&version=*, dubbo version: 2.6.2, current host: 192.168.19.15
2019-01-22 14:06:50,958 [localhost-startStop-1] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:387) -  [DUBBO] Notify urls for subscribe url admin://192.168.19.15/com.example.dubbo.service.UserService?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=com.example.dubbo.service.UserService&version=*, urls: [dubbo://192.168.19.15:20880/com.example.dubbo.service.UserService?anyhost=true&application=provider&dubbo=2.6.0&generic=false&interface=com.example.dubbo.service.UserService&methods=test,saveUser&pid=22512&side=provider&timestamp=1548136175045, consumer://192.168.19.15/com.example.dubbo.service.UserService?application=consumer&category=consumers&check=false&default.check=false&dubbo=2.6.0&interface=com.example.dubbo.service.UserService&methods=test,saveUser&pid=23420&side=consumer&timestamp=1548136188405, empty://192.168.19.15/com.example.dubbo.service.UserService?category=routers&check=false&classifier=*&enabled=*&group=*&interface=com.example.dubbo.service.UserService&version=*, empty://192.168.19.15/com.example.dubbo.service.UserService?category=configurators&check=false&classifier=*&enabled=*&group=*&interface=com.example.dubbo.service.UserService&version=*], dubbo version: 2.6.2, current host: 192.168.19.15
2019-01-22 14:06:50,960 [localhost-startStop-1] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:298) -  [DUBBO] Subscribe: admin://192.168.19.15/com.example.consumer.service.UserService?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=com.example.consumer.service.UserService&version=*, dubbo version: 2.6.2, current host: 192.168.19.15
2019-01-22 14:06:50,989 [localhost-startStop-1] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:387) -  [DUBBO] Notify urls for subscribe url admin://192.168.19.15/com.example.consumer.service.UserService?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=com.example.consumer.service.UserService&version=*, urls: [empty://192.168.19.15/com.example.consumer.service.UserService?category=providers&check=false&classifier=*&enabled=*&group=*&interface=com.example.consumer.service.UserService&version=*, empty://192.168.19.15/com.example.consumer.service.UserService?category=consumers&check=false&classifier=*&enabled=*&group=*&interface=com.example.consumer.service.UserService&version=*, empty://192.168.19.15/com.example.consumer.service.UserService?category=routers&check=false&classifier=*&enabled=*&group=*&interface=com.example.consumer.service.UserService&version=*, empty://192.168.19.15/com.example.consumer.service.UserService?category=configurators&check=false&classifier=*&enabled=*&group=*&interface=com.example.consumer.service.UserService&version=*], dubbo version: 2.6.2, current host: 192.168.19.15
2019-01-22 14:06:50,992 [localhost-startStop-1] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:298) -  [DUBBO] Subscribe: admin://192.168.19.15/com.example.dubbo.UserService?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=com.example.dubbo.UserService&version=*, dubbo version: 2.6.2, current host: 192.168.19.15
2019-01-22 14:06:51,018 [localhost-startStop-1] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:387) -  [DUBBO] Notify urls for subscribe url admin://192.168.19.15/com.example.dubbo.UserService?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=com.example.dubbo.UserService&version=*, urls: [empty://192.168.19.15/com.example.dubbo.UserService?category=providers&check=false&classifier=*&enabled=*&group=*&interface=com.example.dubbo.UserService&version=*, empty://192.168.19.15/com.example.dubbo.UserService?category=consumers&check=false&classifier=*&enabled=*&group=*&interface=com.example.dubbo.UserService&version=*, empty://192.168.19.15/com.example.dubbo.UserService?category=routers&check=false&classifier=*&enabled=*&group=*&interface=com.example.dubbo.UserService&version=*, empty://192.168.19.15/com.example.dubbo.UserService?category=configurators&check=false&classifier=*&enabled=*&group=*&interface=com.example.dubbo.UserService&version=*], dubbo version: 2.6.2, current host: 192.168.19.15
